제품목록,RTX 3090,RTX 3080 Ti,RTX 3080 -Ti,RTX 3070 Ti,RTX 3070 -Ti,RTX 3060 Ti,RTX 3060 -Ti,RTX 2060 super,RTX 2060 -super
2021년 8월 1일,2850932,2002474,1756308,1598356,1156806,798222,683838,1046866,667868
2021년 8월 2일,2850814,2005222,1792818,1659984,1451610,812154,695902,1051704,667740
2021년 8월 3일,2854940,1999742,1896052,1891430,1214362,804670,672680,1053504,643794
2021년 8월 4일,2877518,1998486,1997236,1884760,1319144,809004,681938,1157236,668374
2021년 8월 5일,2825574,2066516,1967236,1702218,1392210,811618,678470,1157236,648250
2021년 8월 6일,2754912,2044166,2074490,1668550,1097046,813080,675066,1130828,644264
2021년 8월 7일,2755934,2015688,2165312,1497168,1386288,810830,672254,1203692,642802
2021년 8월 8일,2755886,2015596,2165170,1417208,1085712,804716,679454,1211148,642152
2021년 8월 9일,2755840,2010708,2164146,1389468,1099760,810214,668076,1215740,642108
2021년 8월 10일,2742852,2026314,2064444,1606714,1182446,810058,658428,1065068,616588
2021년 8월 12일,2929814,1995794,1847184,1395642,1544276,1335838,747224,1066002,637980
2021년 8월 12일,2932296,1995782,1847184,1401940,1544276,1335838,739072,1066002,637980
2021년 8월 13일,2979778,1983910,1887022,1484464,1388220,1333588,751982,1066010,637460
2021년 8월 14일,2898622,1986684,2003074,1490930,1320630,1129198,735896,1066024,637448
2021년 8월 15일,2930518,1987660,2002890,1535324,1572386,1167198,717028,1066024,637438
2021년 8월 16일,2930468,1987564,2002964,1570246,1405654,1130200,709604,1066024,637436
2021년 8월 17일,2969460,1995786,2029672,1523648,1727694,1170570,744604,1066004,608290
